ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
17947,/p164/m17947,עלים בודדים,מיכה יוסף ברדיצ'בסקי,"",https://wikidata.org/wiki/Q1926717,"","",Translation missing: he.article,ברסלוי : צעירים
17948,/p164/m17948,דברי חקר,מיכה יוסף ברדיצ'בסקי,"",https://wikidata.org/wiki/Q1926717,"","",Translation missing: he.article,ברסלוי : צעירים
17949,/p164/m17949,הגיונות,מיכה יוסף ברדיצ'בסקי,"",https://wikidata.org/wiki/Q1926717,"","",Translation missing: he.article,ברסלוי : צעירים
17950,/p166/m17950,שׁוֹשָׁנָה: סיפור,ליאופולד קומפרט,זאב יעבץ,https://wikidata.org/wiki/Q78940,https://wikidata.org/wiki/Q12407187,de,Translation missing: he.prose,ורשה: בדפוס האחים שולדבערג
17961,/p2671/m17961,לפנות בוקר: פרקי יומן,אלכסנדר זייד,מאיר פלס,https://wikidata.org/wiki/Q2669392,"",ru,Translation missing: he.memoir,עם עובד
17965,/p397/m17965,ספר הכח,יחיאל מיכל פינס,"",https://wikidata.org/wiki/Q1686101,"","",Translation missing: he.reference,ירושלם: אברהם משה לונץ
17966,/p640/m17966,הנער משה,משה פלינקר,"",https://wikidata.org/wiki/Q445108,"","",Translation missing: he.memoir,יד ושם
17967,/p22/m17967,ליל הגלות ושחר התחיה,אליעזר בן־יהודה,"",https://wikidata.org/wiki/Q181728,"","",Translation missing: he.reference,סלונים: הוצאת יוסף רזניקובסקי; ורשה 
17987,/p602/m17987,רַחֲשֵי לֵב,יהושע אטלס,"",https://wikidata.org/wiki/Q94943425,"","",Translation missing: he.poetry,פשעמישל
17989,/p169/m17989,יִשְׁמָעֵאל־בֵּי:  שירה מזרחית,מיכאיל לרמונטוב,יעקב לרנר,https://wikidata.org/wiki/Q46599,https://wikidata.org/wiki/Q7063855,ru,Translation missing: he.poetry,"תל-אביב : אגודת הסופרים בסיוע ""מוסד ביאליק"" ו""דבר"""
17990,/p597/m17990,"ספר לתולדות רס""ג",דוד כהנא,"",https://wikidata.org/wiki/Q3018210,"","",Translation missing: he.reference,קראקא: דפוס י' פישער
17991,/p24/m17991,חליפת מכתבים,אלתר דרויאנוב,"",https://wikidata.org/wiki/Q437809,"","",Translation missing: he.letters,ברית ראשונים
17992,/p88/m17992,מכתבים לידידים ולאישים,יוסף  ויתקין,"",https://wikidata.org/wiki/Q1708144,"","",Translation missing: he.letters,""
17993,/p602/m17993,הנרדף מארץ רוסיה,יהושע אטלס,"",https://wikidata.org/wiki/Q94943425,"","",Translation missing: he.drama,פשעמיסל בדפוס זופניק קנאללער&  האממערשמידט 
17994,/p108/m17994,ארתור ג'מס בלפור: חייו והצהרתו,יעקב יערי־פולסקין,"",https://wikidata.org/wiki/Q6915099,"","",Translation missing: he.article,תל אביב
17995,/p18/m17995,הערות,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
17996,/p18/m17996,פתרון רציונלי (מהגיונות של קיצוני),אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
17997,/p18/m17997,הדגל הציוני מה הוא?,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
17998,/p18/m17998,חוסר חיי משפחה,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
17999,/p18/m17999,במקום הקדמה,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
18000,/p18/m18000,מבחוץ,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
18001,/p18/m18001,הדיבור העברי,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
18002,/p18/m18002,מכתב שלא נשלח בזמנו לידידי אשר בגולה,אהרן דוד גורדון,"",https://wikidata.org/wiki/Q399986,"","",Translation missing: he.article,"מועצת פועלי חיפה, הספריה הציונית"
